NAME	CPU %	MEM USAGE / LIMIT	MEM %	TIME

TBbwa
--------------------
mtbseq_container	99.88%	1.435GiB / 125.4GiB	1.14%	2025-06-12 22:51:11
mtbseq_container	100.34%	1.435GiB / 125.4GiB	1.14%	2025-06-12 22:51:17
mtbseq_container	138.67%	1.436GiB / 125.4GiB	1.15%	2025-06-12 22:51:24
mtbseq_container	393.12%	1.437GiB / 125.4GiB	1.15%	2025-06-12 22:51:31
mtbseq_container	100.20%	1.437GiB / 125.4GiB	1.15%	2025-06-12 22:51:37
mtbseq_container	1613.64%	1.4GiB / 125.4GiB	1.12%	2025-06-12 22:51:44
mtbseq_container	1433.70%	1.482GiB / 125.4GiB	1.18%	2025-06-12 22:51:50
mtbseq_container	1709.15%	1.53GiB / 125.4GiB	1.22%	2025-06-12 22:51:57
mtbseq_container	2091.52%	1.554GiB / 125.4GiB	1.24%	2025-06-12 22:52:03
mtbseq_container	1293.17%	1.522GiB / 125.4GiB	1.21%	2025-06-12 22:52:10
mtbseq_container	883.72%	1.249GiB / 125.4GiB	1.00%	2025-06-12 22:52:17
mtbseq_container	949.89%	1.512GiB / 125.4GiB	1.21%	2025-06-12 22:52:23
mtbseq_container	2230.47%	1.552GiB / 125.4GiB	1.24%	2025-06-12 22:52:30
mtbseq_container	850.94%	1.557GiB / 125.4GiB	1.24%	2025-06-12 22:52:36
mtbseq_container	850.69%	1.583GiB / 125.4GiB	1.26%	2025-06-12 22:52:43
mtbseq_container	839.74%	1.609GiB / 125.4GiB	1.28%	2025-06-12 22:52:49
mtbseq_container	867.25%	1.63GiB / 125.4GiB	1.30%	2025-06-12 22:52:56
mtbseq_container	876.10%	1.658GiB / 125.4GiB	1.32%	2025-06-12 22:53:02
mtbseq_container	1672.41%	1.677GiB / 125.4GiB	1.34%	2025-06-12 22:53:09
mtbseq_container	857.85%	1.672GiB / 125.4GiB	1.33%	2025-06-12 22:53:16
